2025-05-01 11:30:42, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:30:44, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:30:46, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:30:48, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:30:50, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:30:52, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:30:54, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:30:56, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:30:58, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:31:00, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:31:02, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:31:04, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:31:06, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:31:08, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:31:10, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:31:12, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:31:14, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:31:16, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:31:18, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:31:20, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:31:22, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:31:24, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:31:26, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:31:28, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:31:30, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:31:32, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:31:34, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:31:36, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:31:38, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:31:40, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:31:42, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:31:44, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:31:46, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:31:48, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:31:50, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:31:52, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:31:54, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:31:56, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:31:58, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:32:00, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:32:02, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:04, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:32:06, 10.0.0.10, 192.168.1.12, 22, TCP
